cik_str,ticker,title,processed
320193,AAPL,Apple Inc.,False
789019,MSFT,MICROSOFT CORP,False
1652044,GOOGL,Alphabet Inc.,False
1018724,AMZN,AMAZON COM INC,False
1318605,TSLA,"Tesla, Inc.",False
1067983,BRK-B,BERKSHIRE HATHAWAY INC,False
1326801,META,"Meta Platforms, Inc.",False
59478,LLY,ELI LILLY & Co,False
1403161,V,VISA INC.,False
34088,XOM,EXXON MOBIL CORP,False
731766,UNH,UNITEDHEALTH GROUP INC,False
104169,WMT,Walmart Inc.,False
19617,JPM,JPMORGAN CHASE & CO,False
200406,JNJ,JOHNSON & JOHNSON,False
1141391,MA,Mastercard Inc,False
80424,PG,PROCTER & GAMBLE Co,False
1730168,AVGO,Broadcom Inc.,False
1341439,ORCL,ORACLE CORP,False
310158,MRK,"Merck & Co., Inc.",False
1551152,ABBV,AbbVie Inc.,False
21344,KO,COCA COLA CO,False
909832,COST,COSTCO WHOLESALE CORP /NEW,False
796343,ADBE,ADOBE INC.,False
77476,PEP,PEPSICO INC,False
70858,BAC,BANK OF AMERICA CORP /DE/,False
858877,CSCO,"CISCO SYSTEMS, INC.",False
1108524,CRM,"Salesforce, Inc.",False
63908,MCD,MCDONALDS CORP,False
1467373,ACN,Accenture plc,False
97745,TMO,THERMO FISHER SCIENTIFIC INC.,False
78003,PFE,PFIZER INC,False
313616,DHR,DANAHER CORP /DE/,False
1166691,CMCSA,COMCAST CORP,False
1707925,LIN,LINDE PLC,False
1283699,TMUS,"T-Mobile US, Inc.",False
2488,AMD,ADVANCED MICRO DEVICES INC,False
72971,WFC,WELLS FARGO & COMPANY/MN,False
1413329,PM,Philip Morris International Inc.,False
1744489,DIS,Walt Disney Co,False
97476,TXN,TEXAS INSTRUMENTS INC,False
896878,INTU,INTUIT INC.,False
50863,INTC,INTEL CORP,False
1163165,COP,CONOCOPHILLIPS,False
895421,MS,MORGAN STANLEY,False
320187,NKE,"NIKE, Inc.",False
318154,AMGN,AMGEN INC,False
732712,VZ,VERIZON COMMUNICATIONS INC,False
1393818,BX,Blackstone Inc.,False
51143,IBM,INTERNATIONAL BUSINESS MACHINES CORP,False
753308,NEE,NEXTERA ENERGY INC,False
1090727,UPS,UNITED PARCEL SERVICE INC,False
100885,UNP,UNION PACIFIC CORP,False
40545,GE,GENERAL ELECTRIC CO,False
60667,LOW,LOWES COMPANIES INC,False
804328,QCOM,QUALCOMM INC/DE,False
12927,BA,BOEING CO,False
14272,BMY,BRISTOL MYERS SQUIBB CO,False
1373715,NOW,"ServiceNow, Inc.",False
4962,AXP,AMERICAN EXPRESS CO,False
315189,DE,DEERE & CO,False
6951,AMAT,APPLIED MATERIALS INC /DE,False
1045609,PLD,"Prologis, Inc.",False
886982,GS,GOLDMAN SACHS GROUP INC,False
